Change component parameters: Designator = "C129" ("C129"); Footprint = "CAPAE660X610N"; UniqueID = "\LYFAVRXW" ("\LYFAVRXW")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "UCD1E470MCL1GS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2410121340_Nichicon-UCD1E470MCL1GS_C308827.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "6.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C308827"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Nichicon-UCD1E470MCL1GS_C308827.html?s_z=n_UCD1E470MCL1GS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Nichicon-UCD1E470MCL1GS_C308827.html?s_z=n_UCD1E470MCL1GS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Nichicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "UCD1E470MCL1GS"; VariantName = "[No Variations]"
Change component parameters: Designator = "C309" ("C309"); Footprint = "CAPC1608X09N"; UniqueID = "\PXZGUQVQ" ("\PXZGUQVQ")
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/search?q=Samwha%20Capacitor%20CS1608X7R474K250NRB&s_z=n_Samwha%20Capacitor%20CS1608X7R474K250NRB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "CS1608X7R474K250NRB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "470nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "D100" ("D100"); Footprint = "SP0503BAHTG"; UniqueID = "\FIEOYNRN" ("\FIEOYNRN")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "SP0503BAHTG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://nl.mouser.com/datasheet/2/240/Littelfuse_TVS_Diode_Array_SP05_Datasheet.pdf-777043.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.22mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C41364459"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_GOODWORK-SP0503BAHTG_C41364459.html?s_z=n_SP0503BAHTG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_GOODWORK-SP0503BAHTG_C41364459.html?s_z=n_SP0503BAHTG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "GOODWORK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "SP0503BAHTG"; VariantName = "[No Variations]"
Change component parameters: Designator = "D200" ("D200"); Footprint = "SODFL1006X45N"; UniqueID = "\JRHEWUMB" ("\JRHEWUMB")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "1SS416,L3M"; VariantName = "[No Variations]"
